pop_diffs_2050,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect
6.8202761741698055,40,20,0,5.0,5.0,0.0
5.295541360034576,65,10,20,5.0,5.0,0.5
0.232271652981467,65,20,10,1.0,0.0,1.5
0.0,40,20,10,0.0,0.0,0.5
3.7419814512851985,50,0,10,1.0,0.0,1.5
0.129224923605534,40,20,20,1.0,1.0,0.0
0.0,65,0,20,0.0,5.0,1.5
20.81856587184967,50,0,0,5.0,0.0,0.5
3.608914044998244,65,0,0,1.0,0.0,1.5
0.0418128382010536,40,0,20,0.0,1.0,1.5
1.2420645922381937,65,10,20,1.0,1.0,0.5
0.0,40,10,20,0.0,1.0,1.5
18.477730826595742,40,0,10,5.0,5.0,0.0
0.0,40,10,20,0.0,0.0,0.0
20.817730820892223,50,0,0,5.0,1.0,0.0
16.039239212531072,50,10,0,5.0,1.0,0.5
1.4337502756598042,40,10,20,1.0,0.0,0.0
17.86777244491907,50,0,10,5.0,5.0,1.5
0.0,40,10,20,0.0,0.0,1.5
6.8202761741698055,40,20,0,5.0,1.0,0.5
0.0418128382010536,40,0,20,0.0,0.0,1.5
3.608914044998244,65,0,0,1.0,1.0,1.5
20.81856587184967,50,0,0,5.0,1.0,0.5
17.396104050848237,65,0,0,5.0,1.0,0.0
3.7419814512851985,50,0,10,1.0,1.0,1.5
0.0,40,20,20,0.0,1.0,0.0
14.601503747007428,50,0,20,5.0,1.0,0.0
17.396104050848237,65,0,0,5.0,5.0,1.5
0.0,40,20,20,0.0,5.0,0.0
0.0,65,10,20,0.0,1.0,0.0
17.396104050848237,65,0,0,5.0,5.0,0.0
0.0,65,20,20,0.0,5.0,0.5
2.5656001084409468,50,10,10,1.0,0.0,0.5
5.0912165534100495e-05,50,0,20,0.0,5.0,0.5
0.129224923605534,40,20,20,1.0,5.0,1.5
11.831719742573398,40,10,10,5.0,0.0,0.5
3.183043482022015,65,0,10,1.0,0.0,0.5
3.5417576866999525,40,10,0,1.0,0.0,1.5
13.99461218403809,65,10,0,5.0,0.0,1.5
0.528523997455693,40,20,20,5.0,1.0,1.5
1.5591164745213746,50,20,0,1.0,0.0,1.5
